Grade,Project #,Project name,Tool,Activity #,Activity name,Activity objective,Activity description,Activity duration,Source
1,1,Let's learn about technology devices,Pixlr E,1,Let's learn about technology devices,"Recognize the options of an educational platform.
Describe what a technology device is.
List the characteristics and uses of the most common technology devices.","Using the website of the project, students research about different technology devices and their use. In addition, they learn how to properly take care of these devices.",2c,Tbox
1,1,Let's learn about technology devices,Pixlr E,2,Our inventions,"Identify the main parts of an image editor.
Open an image using an editor.
Create strokes on an image.
Enter text in an image.
Export a finished image.",Students use diverse devices in order to create a technology invention that solves a specific need. They use an image editor to indicate the devices that will be part of their inventions.,2c,Tbox
1,2,Eco friends,Pixlr E,1,Time for research,"Use an electronic source to search for information.
List the basic tools of an image editor.
Explain what netiquette is.","Students research about image editing and learn how an image editor works. Additionally, students learn about natural resources.",2c,Tbox
1,2,Eco friends,Pixlr E,2,The club's postcard,"Use drawing tools.
Apply color to an image.
Enter text into an image.
Apply effects to an image.
Save an image.","Students create a postcard with the image of a valuable natural resource. They use the pencil to complete the scene, color the image and add text and effects to design an eye-catching material.",2c,Tbox
1,2,Eco friends,Pixlr E,3,Protection advertisement,"Insert an image from a file.
Modify an inserted image to fit in the layout.
Draw lines.
Decorate an image.","Students design an advertisement to show the importance of caring for natural resources. They edit the image by using different tools, among them the selection tool.",2c,Tbox
1,2,Eco friends,Pixlr E,4,An eco-friendly collage,"Create a new image.
Insert a photo from file.
Modify the size and position of an inserted photo.
Delete segments of an image.
Apply effects to text.",Students create a collage. They use different tools to create an collage about the natural resources of their country.,2c,Tbox
1,2,Eco friends,Pixlr E,5,An infographic for Eco friends,"Conceptualizing ideas for the infographic.
Organizing recommendations into a visually appealing format.
Selecting and adding elements to visually represent the environmental recommendations.
Using the eraser tool effectively for edits and adjustments.
Adding decorative elements to enhance the infographic's appeal.
Entering and formatting text to convey clear and concise recommendations.
Balancing design elements to create an engaging and informative infographic.","Students design an infographic with recommendations to protect the environment. They include elements to represent their idea; they also use the eraser, decorate the image and enter text.",2c,Tbox
1,2,Eco friends,Pixlr E,6,Your graphic material,Put into practice what has been learned.,"Let’s put our skills into practice! Students design a type of graphic material of their choice: postcard, advertisement, poster, infographic or collage. Their purpose is to invite others to protect a natural resource in their community as they practice their new skills.",2c,Tbox
1,2,Eco friends,Pixlr E,7,Let's create a video,Create an online video from images.,Students use the graphic materials created in this project to produce a video promoting the care of natural resources. This video can be shared with families.,2c,Tbox
1,3,Nature protectors,Word 365,1,Research to learn,"List the main tools of a word processor.
Describe the interface of a word processor.
Use an electronic source to search for information.","Students use the website of the project to research about nature protection and recycling. In addition, they learn the main tools of a word processor to create documents about the environment.",2c,Cursor
1,3,Nature protectors,Word 365,2,Nature is a poem,"Enter and format text in a document.
Insert and modify elements such as tables or images.","Students create literary pieces about nature protection using the word processor. They write poems, riddles, tongue twisters or songs and format their documents with the tools learned.",2c,Cursor
1,3,Nature protectors,Word 365,3,Reusing with riddles,"Enter and format text in a document.
Insert and modify elements such as tables or images.","Students create literary pieces about nature protection using the word processor. They write poems, riddles, tongue twisters or songs and format their documents with the tools learned.",2c,Cursor
1,3,Nature protectors,Word 365,4,Recycling with tonge twisters,"Enter and format text in a document.
Insert and modify elements such as tables or images.","Students create literary pieces about nature protection using the word processor. They write poems, riddles, tongue twisters or songs and format their documents with the tools learned.",2c,Cursor
1,3,Nature protectors,Word 365,5,Let's write a song,"Enter and format text in a document.
Insert and modify elements such as tables or images.","Students create literary pieces about nature protection using the word processor. They write poems, riddles, tongue twisters or songs and format their documents with the tools learned.",2c,Cursor
1,3,Nature protectors,Word 365,6,My own piece of literature,"Enter and format text in a document.
Insert and modify elements such as tables or images.","Students create literary pieces about nature protection using the word processor. They write poems, riddles, tongue twisters or songs and format their documents with the tools learned.",2c,Cursor
1,3,Nature protectors,Word 365,7,Let the contest begin,Put into practice what has been learned.,Students participate in a contest to share their literary pieces about nature. They put into practice what they have learned with the word processor and present their work to their classmates.,2c,Cursor
1,4,Create your own zoo,Excel 365,1,Let's research,"Describe the main elements of a spreadsheet.
Use an electronic source to search for information.","Students research about animals and zoo management. In addition, they learn the main elements of a spreadsheet to organize data.",2c,Cursor
1,4,Create your own zoo,Excel 365,2,Putting a puzzle together,"Enter data in a spreadsheet.
Use formulas and format cells.
Create and customize charts.","Students build their virtual zoo using a spreadsheet. They organize animal data, use functions, create charts and prepare a budget as they progress through the activities.",2c,Cursor
1,4,Create your own zoo,Excel 365,3,Organizing animals,"Enter data in a spreadsheet.
Use formulas and format cells.
Create and customize charts.","Students build their virtual zoo using a spreadsheet. They organize animal data, use functions, create charts and prepare a budget as they progress through the activities.",2c,Cursor
1,4,Create your own zoo,Excel 365,4,Using functions,"Enter data in a spreadsheet.
Use formulas and format cells.
Create and customize charts.","Students build their virtual zoo using a spreadsheet. They organize animal data, use functions, create charts and prepare a budget as they progress through the activities.",2c,Cursor
1,4,Create your own zoo,Excel 365,5,Let's create statistics charts,"Enter data in a spreadsheet.
Use formulas and format cells.
Create and customize charts.","Students build their virtual zoo using a spreadsheet. They organize animal data, use functions, create charts and prepare a budget as they progress through the activities.",2c,Cursor
1,4,Create your own zoo,Excel 365,6,Preparing a budget,"Enter data in a spreadsheet.
Use formulas and format cells.
Create and customize charts.","Students build their virtual zoo using a spreadsheet. They organize animal data, use functions, create charts and prepare a budget as they progress through the activities.",2c,Cursor
1,4,Create your own zoo,Excel 365,7,My virtual zoo,Put into practice what has been learned.,"Students present their virtual zoo project. They use the spreadsheet to show the animals, budget and statistics they have worked on throughout the project.",2c,Cursor
2,1,Let's explore operating systems,Word 365,1,Let's learn about operating systems,"List the main tools of a word processor.
Describe the interface of a word processor.
Use an electronic source to search for information.",Students use the website of the project to learn about operating systems. They identify the main options of a word processor and how to search for information.,2c,Cursor
2,1,Let's explore operating systems,Word 365,2,Quiz game,Put into practice what has been learned.,Students create a quiz game about operating systems. They put into practice what they have learned with the word processor and share it with their classmates.,2c,Cursor
2,2,Art detectives,Office 365,1,"Detectives, time to investigate",Use an electronic source to access information.,"Students learn how to search for information on the web. In addition, they learn about art around the world and the importance of collaborating online with other people.",2c,Tbox
2,2,Art detectives,Office 365,2,Art in Africa,"Identify keywords to perform a search.
Use the search option in the browser.
Enter text in a document.
Format the text.
Insert an image.","The trivia begins in Africa! In this activity, students use keywords to solve two questions about art in this region. In addition, they use a word processor to design a colorful poster including what they learned.",2c,Tbox
2,2,Art detectives,Office 365,3,Art in America,"Identify cells and cell ranges.
Enter data in a spreadsheet.
Format the data.","Let´s learn about art in America! Students solve three trivia questions about art in America. Then, they complete a spreadsheet to put together the painting of a renowned artist.",2c,Tbox
2,2,Art detectives,Office 365,4,Art in Asia,Search and download images.,Students explore Asian art. They solve trivia questions and design an infographic to show the data gathered in the research.,2c,Tbox
2,2,Art detectives,Office 365,5,Researching European art,Create a collage or assembly of images.,"Students solve trivia questions about European art. Additionally, they use an image editor to create a collage with works of art from this continent.",2c,Tbox
2,2,Art detectives,Office 365,6,Create your own trivia,"Use operators to search. 
Put into practice what has been learned in the project.",Let´s create a trivia! Students create their own trivia about art of a certain region or country. They provide clues to their classmates so they can find the answers.,2c,Tbox
2,2,Art detectives,Office 365,7,Let's solve our trivia,Create an online quiz.,"Let´s share the trivias! Students share the trivia created during the previous activity. In addition, they use their information searching skills to answer their classmates’ trivia questions.",2c,Tbox
2,3,Culture hunters,Office 365,1,Time to research,"Use an electronic source to access information.
Identify the main options of Office applications.","Students research about cultural heritage and tourism. In addition, they learn how to use Office applications to organize and present information.",2c,Cursor
2,3,Culture hunters,Office 365,2,Cultural heritage in my country,"Enter and format text in a document.
Organize data and use images in documents.","Students work as culture hunters using Office 365. They exchange clues, design a brochure and discover cultural heritage while applying the tools learned.",2c,Cursor
2,3,Culture hunters,Office 365,3,Exchanging clues,"Enter and format text in a document.
Organize data and use images in documents.","Students work as culture hunters using Office 365. They exchange clues, design a brochure and discover cultural heritage while applying the tools learned.",2c,Cursor
2,3,Culture hunters,Office 365,4,More clues,"Enter and format text in a document.
Organize data and use images in documents.","Students work as culture hunters using Office 365. They exchange clues, design a brochure and discover cultural heritage while applying the tools learned.",2c,Cursor
2,3,Culture hunters,Office 365,5,Discovering the cultural heritage,"Enter and format text in a document.
Organize data and use images in documents.","Students work as culture hunters using Office 365. They exchange clues, design a brochure and discover cultural heritage while applying the tools learned.",2c,Cursor
2,3,Culture hunters,Office 365,6,Let's design a brochure,"Enter and format text in a document.
Organize data and use images in documents.","Students work as culture hunters using Office 365. They exchange clues, design a brochure and discover cultural heritage while applying the tools learned.",2c,Cursor
2,3,Culture hunters,Office 365,7,A day for tourism,Put into practice what has been learned in the project.,Students participate in a tourism day to share what they have discovered about cultural heritage. They use the materials created with Office 365 during the project.,2c,Cursor
2,4,Artistic show,Scratch online,1,Researching to learn,"Use an electronic source to search for information.
Describe the main blocks and options of Scratch.",Students research about music and musical instruments. They learn the main blocks and options of Scratch to create an animated project.,2c,Cursor
2,4,Artistic show,Scratch online,2,The history of musical instruments,"Add and program sprites and backdrops.
Use control and event blocks to create a project.","Students use Scratch to create an artistic show about musical instruments. They program percussion, wind and string instruments and build their own show.",2c,Cursor
2,4,Artistic show,Scratch online,3,Percussion instruments,"Add and program sprites and backdrops.
Use control and event blocks to create a project.","Students use Scratch to create an artistic show about musical instruments. They program percussion, wind and string instruments and build their own show.",2c,Cursor
2,4,Artistic show,Scratch online,4,Wind instruments,"Add and program sprites and backdrops.
Use control and event blocks to create a project.","Students use Scratch to create an artistic show about musical instruments. They program percussion, wind and string instruments and build their own show.",2c,Cursor
2,4,Artistic show,Scratch online,5,String instruments,"Add and program sprites and backdrops.
Use control and event blocks to create a project.","Students use Scratch to create an artistic show about musical instruments. They program percussion, wind and string instruments and build their own show.",2c,Cursor
2,4,Artistic show,Scratch online,6,My artistic show,"Add and program sprites and backdrops.
Use control and event blocks to create a project.","Students use Scratch to create an artistic show about musical instruments. They program percussion, wind and string instruments and build their own show.",2c,Cursor
